ds,y
2021-05-08,70631
2021-05-09,93861
2021-05-10,0
2021-05-11,52780
2021-05-12,81366
2021-05-13,54835
2021-05-14,51694
2021-05-15,59187
2021-05-16,80745
2021-05-17,61177
2021-05-18,58044
2021-05-19,56852
2021-05-20,61034
2021-05-21,54697
2021-05-22,61417
2021-05-23,82795
2021-05-24,59686
2021-05-25,56629
2021-05-26,54310
2021-05-27,58512
2021-05-28,52572
2021-05-29,58357
2021-05-30,76545
2021-05-31,59308
2021-06-01,52707
2021-06-02,53174
2021-06-03,55680
2021-06-04,50395
2021-06-05,51872
2021-06-06,68398
2021-06-07,67686
2021-06-08,63282
2021-06-09,60250
2021-06-10,0
2021-06-11,52678
2021-06-12,67536
2021-06-13,82189
2021-06-14,61437
2021-06-15,59766
2021-06-16,58707
2021-06-17,60795
2021-06-18,54417
2021-06-19,54537
2021-06-20,73384
2021-06-21,63169
2021-06-22,61477
2021-06-23,62133
2021-06-24,65006
2021-06-25,57593
2021-06-26,55092
2021-06-27,75143
2021-06-28,48184
2021-06-29,49147
2021-06-30,48976
2021-07-01,53149
2021-07-02,44434
2021-07-03,45451
2021-07-04,57298
2021-07-05,48065
2021-07-06,48873
2021-07-07,51348
2021-07-08,49326
2021-07-09,41662
2021-07-10,0
2021-07-11,72574
2021-07-12,74415
2021-07-13,40534
2021-07-14,42340
2021-07-15,41086
2021-07-16,35021
2021-07-17,36975
2021-07-18,50940
2021-07-19,34636
2021-07-20,35436
2021-07-21,36774
2021-07-22,35988
2021-07-23,30764
2021-07-24,32390
2021-07-25,44771
2021-07-26,38985
2021-07-27,39868
2021-07-28,41395
2021-07-29,40473
2021-07-30,34591
2021-07-31,36414
2021-08-01,50418
2021-08-02,33408
2021-08-03,44228
2021-08-04,45063
2021-08-05,42164
2021-08-06,37369
2021-08-07,43116
2021-08-08,58637
2021-08-09,47292
2021-08-10,0
2021-08-11,60639
2021-08-12,80686
2021-08-13,39586
2021-08-14,44982
2021-08-15,61268
2021-08-16,42930
2021-08-17,46791
2021-08-18,46139
2021-08-19,41247
2021-08-20,42289
2021-08-21,55320
2021-08-22,88867
